2024-07-08|74.5645|76.1196
2024-07-09|80.7999|77.9772
2024-07-10|73.8879|77.4475
2024-07-11|74.209|77.826
2024-07-12|74.6255|77.972
2024-07-13|73.9197|77.864
2024-07-14|73.8278|78.3464
2024-07-15|75.6379|78.4369
2024-07-16|74.3119|78.8823
2024-07-17|74.5927|80.2677
2024-07-18|74.5378|79.3677
2024-07-19|74.6339|78.9666
2024-07-20|74.6423|78.981
2024-07-21|77.9595|78.8802
2024-07-22|76.1747|82.8915
2024-07-23|75.7843|81.7724
2024-07-24|75.0555|79.8049
2024-07-25|76.2514|79.8707
2024-07-26|79.1581|79.9077
2024-07-27|75.1103|79.6434
2024-07-28|74.9384|79.5683
2024-07-29|74.9702|79.6691
2024-07-30|75.1474|80.0157
2024-07-31|75.3707|80.8859
2024-08-01|75.5056|80.7316
2024-08-02|75.4087|80.4734
2024-08-03|75.4795|79.9057
2024-08-04|75.3003|80.0353
2024-08-05|75.7154|80.3932
2024-08-06|75.6566|77.5627
2024-08-07|79.1156|73.4609
2024-08-08|75.9434|70.0503
