2024-07-03|9|18|10|17|9|18|29|65|27|67|26|43|27|66|27|71|26|64|26|67|27|81|28|74|27|62|29|70|29|81|26|66|41753|556114|541438
2024-07-04|9|18|10|20|9|15|29|49|27|61|26|60|27|61|26|59|26|63|26|62|27|66|28|69|28|63|27|63|28|83|25|44|41938|554723|540442
2024-07-05|9|17|9|41|9|12|34|64|33|61|31|54|32|62|31|62|30|65|31|71|32|82|33|79|32|52|35|71|32|61|30|62|42515|556710|543348
2024-07-06|9|31|10|18|9|13|30|46|27|74|27|86|27|66|27|67|26|69|27|87|28|57|28|71|27|64|28|62|28|56|25|74|40846|561566|546888
2024-07-07|9|48|10|20|9|19|29|69|28|73|26|77|26|69|26|85|26|49|28|82|26|66|27|53|27|73|29|61|27|65|26|86|39378|561630|545480
2024-07-08|9|17|10|16|9|13|28|69|27|62|26|55|26|63|27|63|26|63|27|70|27|69|28|79|29|72|28|64|28|69|25|63|42466|551454|538704
2024-07-09|9|20|9|20|9|15|32|65|31|70|29|60|30|68|30|71|28|66|29|50|30|72|31|71|31|68|31|84|30|75|29|49|42675|556367|543906
2024-07-10|9|14|9|25|9|13|30|76|29|70|28|68|28|67|29|73|28|58|28|70|29|66|30|69|30|62|30|76|29|67|26|54|42450|556174|544078
2024-07-11|10|13|11|16|10|14|29|71|28|60|26|69|28|70|28|73|26|73|26|39|28|56|28|57|28|68|28|73|28|58|27|79|42835|561958|549748
2024-07-12|9|15|10|20|9|15|27|68|27|59|27|60|26|54|27|58|25|66|26|59|27|69|27|71|27|62|27|77|27|53|23|49|42626|559783|546666
2024-07-13|10|14|11|16|9|28|27|61|26|62|26|63|26|62|27|63|25|61|25|71|26|61|27|72|26|73|27|61|26|67|25|45|40745|561422|546195
2024-07-14|9|23|9|19|9|43|31|54|29|48|29|77|29|61|29|62|29|85|27|70|31|62|29|72|30|64|31|68|30|62|27|69|39419|564538|547751
2024-07-15|9|13|9|36|9|20|29|70|27|64|26|59|27|57|25|77|27|69|26|62|27|76|27|78|27|77|29|85|28|58|24|80|42631|558873|545522
2024-07-16|10|20|9|33|8|15|28|59|28|71|27|69|27|88|26|64|25|51|28|75|27|66|26|70|27|75|28|57|29|75|25|73|41999|559850|546118
2024-07-17|9|18|10|17|9|21|28|52|27|58|27|65|27|56|27|73|26|56|26|65|27|63|27|56|27|77|29|78|27|77|25|61|42325|562394|549156
2024-07-18|9|18|11|34|8|13|29|65|27|76|26|64|28|93|26|63|27|67|26|64|26|70|27|62|28|58|29|66|28|71|25|61|42344|563062|549661
2024-07-19|9|21|10|21|9|12|27|68|27|63|25|68|27|70|26|68|26|60|26|74|26|62|27|63|27|74|28|67|28|77|25|59|41723|562047|547940
2024-07-20|10|12|10|29|9|20|26|62|27|78|25|52|26|66|25|47|25|67|26|58|25|70|25|72|26|66|27|64|27|68|25|74|40165|567797|552470
2024-07-21|8|16|10|26|9|27|29|56|28|56|25|70|27|59|27|65|26|75|26|72|27|71|26|70|29|74|29|58|27|88|24|37|39148|567837|551393
2024-07-22|12|19|12|17|11|16|29|69|31|83|26|70|28|77|26|81|26|77|26|68|26|59|28|69|28|72|27|61|27|59|26|81|41976|564939|551064
2024-07-23|15|18|15|19|17|16|29|58|28|93|27|69|28|73|27|66|26|57|26|74|27|78|27|76|27|62|28|77|30|76|26|66|45227|563451|553449
2024-07-24|9|18|10|32|9|15|29|58|28|75|26|71|28|62|27|65|27|61|27|83|27|67|27|81|29|71|29|63|28|75|26|80|41818|568187|554808
2024-07-25|9|12|9|48|9|24|29|73|28|72|26|58|27|63|26|62|26|66|26|71|28|83|29|84|27|79|29|49|28|81|25|66|39330|571629|556014
2024-07-26|9|11|10|17|9|14|29|64|29|63|26|68|28|59|27|66|28|65|26|69|27|72|28|65|28|70|28|50|28|70|25|73|41860|571065|558012
2024-07-27|9|27|10|31|9|20|28|80|27|64|25|57|27|63|26|77|26|66|26|64|26|62|30|77|28|71|27|72|27|73|25|61|40419|570827|556505
2024-07-28|8|26|10|19|9|21|29|52|27|68|28|85|27|71|27|56|26|80|27|75|27|78|28|68|27|61|28|66|28|61|25|58|39103|572676|556616
2024-07-29|9|16|10|26|9|15|29|60|28|60|27|68|27|51|27|71|27|73|26|66|26|61|29|72|27|76|28|81|28|79|26|75|42148|567467|554283
2024-07-30|9|14|10|16|9|16|29|70|28|82|28|78|28|74|27|45|27|59|27|59|28|53|28|89|29|63|29|73|28|59|26|64|42154|568747|555073
2024-07-31|10|14|9|16|9|21|29|68|28|68|27|73|28|58|28|63|27|63|27|70|29|69|28|80|28|73|30|75|29|68|25|58|42110|569264|555956
2024-08-01|9|17|10|21|9|14|30|56|28|75|27|65|28|62|28|73|27|76|28|59|29|69|29|71|29|59|30|71|29|55|27|74|43049|568904|556882
2024-08-02|8|14|11|15|9|20|30|66|29|47|27|63|29|55|27|63|26|55|26|72|29|65|28|65|29|70|30|58|28|55|25|45|42708|567700|555380
2024-08-03|6|9|7|17|6|9|25|73|24|60|22|34|23|38|23|41|22|37|23|58|23|31|24|58|23|49|25|35|23|46|21|31|30809|570419|546129
