2024-07-09|8|14|9|21|8|14|23|53|23|49|23|52|23|54|43815|601125|589197
2024-07-10|8|18|10|12|8|21|23|54|23|50|24|53|23|48|43915|601286|589291
2024-07-11|51|24|36|28|45|24|31|47|29|49|31|52|20|47|44306|606494|594264
2024-07-12|9|23|9|20|8|19|20|54|21|53|21|53|20|48|43198|597953|586569
2024-07-13|8|21|9|19|8|14|20|44|20|59|20|47|20|51|41952|602799|590046
2024-07-14|9|14|8|13|9|13|23|54|22|50|23|52|23|48|40971|606720|592584
2024-07-15|8|16|9|19|9|14|21|56|21|48|21|53|21|49|43848|600453|589210
2024-07-16|9|29|9|20|9|21|21|51|21|51|22|57|21|53|43651|602339|590413
2024-07-17|9|29|10|14|8|12|21|53|21|54|21|49|21|51|43725|604349|592754
2024-07-18|9|14|8|15|8|19|21|54|21|50|22|50|21|50|43638|601592|589455
2024-07-19|8|16|9|20|9|12|21|59|21|49|21|51|21|55|43466|603134|590713
2024-07-20|8|15|9|16|9|15|20|48|20|47|21|47|20|49|42057|609016|595293
2024-07-21|9|17|8|16|9|21|21|53|20|44|21|50|21|50|40799|606659|591607
2024-07-22|9|28|11|15|9|35|21|48|22|59|22|49|21|54|43376|606801|593972
2024-07-23|14|18|15|16|15|16|22|54|22|62|22|57|22|47|46729|605648|593805
2024-07-24|9|22|9|21|8|12|22|83|22|55|22|55|22|53|43388|612290|597794
2024-07-25|9|29|9|21|9|31|22|49|22|53|22|52|21|48|41065|618931|602441
2024-07-26|8|13|9|15|9|15|22|69|22|48|22|58|21|52|42946|609223|595304
2024-07-27|9|28|10|16|9|23|21|51|21|54|22|53|21|52|41783|610819|595756
2024-07-28|8|16|8|20|9|14|21|53|21|47|22|53|21|56|40799|615343|599587
2024-07-29|8|12|9|19|8|18|22|50|21|47|22|52|21|54|43252|608248|595065
2024-07-30|8|19|9|14|8|26|21|51|21|51|22|53|22|47|43179|609534|596423
2024-07-31|8|15|9|24|9|31|21|52|22|54|22|55|21|65|43682|610592|597894
2024-08-01|9|16|9|19|9|25|22|56|22|51|23|56|22|47|44634|608886|597208
2024-08-02|9|18|11|20|9|19|21|57|21|45|22|47|21|50|46327|607184|596975
2024-08-03|10|20|10|15|8|25|21|53|21|62|21|51|21|48|42860|610053|596627
2024-08-04|9|15|10|21|9|21|22|50|22|48|23|44|22|46|41745|617802|603017
2024-08-05|9|18|10|18|9|23|23|63|23|68|23|52|22|53|44598|612694|600936
2024-08-06|10|19|10|17|9|15|22|51|22|50|23|63|22|51|44869|614944|602696
2024-08-07|10|39|10|21|9|19|22|60|22|61|22|57|22|49|45725|629446|617243
2024-08-08|9|18|10|17|9|22|22|45|22|53|22|53|22|58|44995|620921|608833
2024-08-09|7|10|7|15|6|10|18|37|18|32|18|41|18|53|32388|611483|587920
